,color1,color2,color3,color4
0,#ffffff,#7b6a56,#151419,#aeaeb0
1,#dcdcdc,#23272a,#72777a,#d0d772
2,#ffffff,#c5c1be,#7c716d,#3d2f26
3,#ffffff,#bebebe,#563526,#89806f
4,#ffffff,#bda98e,#2a251f,#9d6240
5,#afafaf,#040404,#fcfcfc,#71645b
6,#cbcbbf,#080202,#a48e55,#782d17
7,#d4c7bf,#988c74,#4e4139,
8,#d4c7bf,#988c74,#4e4139,
9,#ccbfaf,#130e0a,#776757,
10,#ccbfaf,#130e0a,#776757,
11,#eeeeee,#0e0903,#a8adb1,#70726d
12,#ffffff,#b7a69f,#352c2f,#7b675e
13,#dbc593,#484c3d,#b0603b,#ffffef
14,#eeedeb,#887d7b,#241f1b,
15,#eeedeb,#887d7b,#241f1b,
16,#c3beb8,#fffdf3,#533b23,#789b61
17,#ffffff,#a7a3a0,#716057,#301400
18,#d5d8df,#5b5e65,#1b1b1b,#9d9ca1
19,#d4d0c5,#353420,#8c8278,
20,#d4d0c5,#353420,#8c8278,
21,#cccbd0,#8a8a8a,#14100d,#565044
22,#b5afa3,#090810,#ffffff,#715641
23,#040404,#ffffff,#524235,#a5a29d
24,#ffffff,#a19d9a,#45342a,#b2703c
25,#39291c,#9d938a,#e0dbd7,
26,#39291c,#9d938a,#e0dbd7,
27,#bda79a,#6b5140,#f4ebe4,#130b09
28,#8e837f,#faf0e6,#4e3b2d,#090000
29,#ebe9ea,#7e6046,#271910,#9bacb6
30,#e5d7d4,#a66d62,#322113,#fbc652
31,#ffffff,#1a130d,#b3b0ab,#6d523e
32,#c5a991,#fffffb,#000000,#643426
33,#ffffff,#7e7e7e,#242b35,#cbc0b4
34,#000000,#705238,#c9b89e,
35,#000000,#705238,#c9b89e,
36,#d1d1c9,#6f6251,#2d2010,
37,#d1d1c9,#6f6251,#2d2010,
38,#d0b77f,#7b6647,#292315,#f9f7e0
39,#b2b2b2,#ffffff,#0e0c0d,#7f766f
40,#c4c9cd,#998b5a,#423815,
41,#c4c9cd,#998b5a,#423815,
42,#ffffff,#b6a88b,#131218,#715f55
